
3월 28, 2020 14:09:07.62 NEW SESSION
3월 28, 2020 14:09:07.62 [10344:17320:0328/140907.618:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 15:37:09.27 
3월 28, 2020 15:37:09.28 KLIB_SelfTest return : KLR_OK
3월 28, 2020 15:37:43.54 [20076:14120:0328/153743.542:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 15:40:41.24 
3월 28, 2020 15:40:41.25 KLIB_SelfTest return : KLR_OK
3월 28, 2020 15:41:53.80 [16556:9916:0328/154153.804:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:08:16.27 
3월 28, 2020 16:08:16.27 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:30:45.33 [14692:14068:0328/163045.330:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:39:16.20 
3월 28, 2020 16:39:16.20 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:40:00.06 [22952:11920:0328/164000.061:ERROR:connection_factory_impl.cc(420)] Failed to connect to MCS endpoint with error -118
3월 28, 2020 16:44:07.73 
3월 28, 2020 16:44:07.73 KLIB_SelfTest return : KLR_OK
3월 28, 2020 16:46:59.83 [11768:22236:0328/164659.837:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:00.38 [11768:22236:0328/164700.384:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:00.89 [11768:22236:0328/164700.895:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:01.32 [11768:22236:0328/164701.325:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:01.82 [11768:22236:0328/164701.825:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:02.24 [11768:22236:0328/164702.249:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:02.70 [11768:22236:0328/164702.705:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:03.08 [11768:22236:0328/164703.081:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:03.41 [11768:22236:0328/164703.413:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:03.69 [11768:22236:0328/164703.691:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:03.96 [11768:22236:0328/164703.968:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:04.30 [11768:22236:0328/164704.304:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:04.62 [11768:22236:0328/164704.620:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:04.89 [11768:22236:0328/164704.896:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.05 [11768:22236:0328/164705.058:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.22 [11768:22236:0328/164705.227:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.45 [11768:22236:0328/164705.452:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.56 [11768:22236:0328/164705.567:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.71 [11768:22236:0328/164705.712:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:05.88 [11768:22236:0328/164705.887:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
3월 28, 2020 16:47:06.09 [11768:22236:0328/164706.094:ERROR:CONSOLE(0)] "TypeError: Cannot read property 'ownerStyle' of null", source:  (0)
